2026-06-29 22:01:12 | n4_b1p75 | samples= 10,910,464 | speed= 3,188 sps | loss=0.077963 | val=0.075404 | lr=1.83e-04 | D=-- | D'=--
2026-06-29 22:01:48 | n4_b1p75 | samples= 11,010,560 | speed= 2,769 sps | loss=0.078026 | val=0.075369 | lr=2.08e-04 | D=-- | D'=--
2026-06-29 22:02:19 | n4_b1p75 | samples= 11,110,656 | speed= 3,172 sps | loss=0.077923 | val=0.075281 | lr=2.58e-04 | D=-- | D'=--
2026-06-29 22:02:51 | n4_b1p75 | samples= 11,210,752 | speed= 3,190 sps | loss=0.077830 | val=0.075279 | lr=2.69e-04 | D=-- | D'=--
2026-06-29 22:03:22 | n4_b1p75 | samples= 11,310,848 | speed= 3,168 sps | loss=0.077557 | val=0.074736 | lr=1.33e-04 | D=-- | D'=--
2026-06-29 22:03:54 | n4_b1p75 | samples= 11,410,944 | speed= 3,192 sps | loss=0.077233 | val=0.074497 | lr=9.27e-05 | D=-- | D'=--
2026-06-29 22:04:25 | n4_b1p75 | samples= 11,511,040 | speed= 3,179 sps | loss=0.077108 | val=0.074353 | lr=9.63e-05 | D=-- | D'=--
2026-06-29 22:04:57 | n4_b1p75 | samples= 11,611,136 | speed= 3,166 sps | loss=0.077038 | val=0.074200 | lr=6.34e-05 | D=-- | D'=--
2026-06-29 22:05:28 | n4_b1p75 | samples= 11,711,232 | speed= 3,165 sps | loss=0.076918 | val=0.074123 | lr=6.00e-05 | D=-- | D'=--
2026-06-29 22:06:00 | n4_b1p75 | samples= 11,811,328 | speed= 3,190 sps | loss=0.076850 | val=0.074120 | lr=9.52e-05 | D=-- | D'=--
2026-06-29 22:06:31 | n4_b1p75 | samples= 11,911,424 | speed= 3,157 sps | loss=0.076787 | val=0.074015 | lr=9.22e-05 | D=-- | D'=--
2026-06-29 22:07:03 | n4_b1p75 | samples= 12,011,520 | speed= 3,169 sps | loss=0.076743 | val=0.073952 | lr=9.03e-05 | D=-- | D'=--
2026-06-29 22:07:31 | n4_b1p75 | samples= 12,111,616 | speed= 3,564 sps | loss=0.076761 | val=0.074142 | lr=1.98e-04 | D=-- | D'=--
2026-06-29 22:07:59 | n4_b1p75 | samples= 12,211,712 | speed= 3,550 sps | loss=0.076837 | val=0.074135 | lr=2.49e-04 | D=-- | D'=--
2026-06-29 22:08:32 | n4_b1p75 | samples= 12,311,808 | speed= 3,043 sps | loss=0.076559 | val=0.073645 | lr=1.12e-04 | D=-- | D'=--
2026-06-29 22:09:04 | n4_b1p75 | samples= 12,411,904 | speed= 3,169 sps | loss=0.076145 | val=0.073421 | lr=7.96e-05 | D=-- | D'=--
2026-06-29 22:09:36 | n4_b1p75 | samples= 12,512,000 | speed= 3,160 sps | loss=0.076159 | val=0.073341 | lr=8.02e-05 | D=-- | D'=--
2026-06-29 22:10:07 | n4_b1p75 | samples= 12,612,096 | speed= 3,160 sps | loss=0.076027 | val=0.073223 | lr=5.81e-05 | D=-- | D'=--
2026-06-29 22:10:39 | n4_b1p75 | samples= 12,712,192 | speed= 3,186 sps | loss=0.075938 | val=0.073176 | lr=8.44e-05 | D=-- | D'=--
2026-06-29 22:11:10 | n4_b1p75 | samples= 12,812,288 | speed= 3,172 sps | loss=0.075918 | val=0.073109 | lr=8.31e-05 | D=-- | D'=--
2026-06-29 22:11:42 | n4_b1p75 | samples= 12,912,384 | speed= 3,153 sps | loss=0.075865 | val=0.073040 | lr=8.89e-05 | D=-- | D'=--
2026-06-29 22:12:10 | n4_b1p75 | samples= 13,012,480 | speed= 3,555 sps | loss=0.075874 | val=0.073044 | lr=1.16e-04 | D=-- | D'=--
2026-06-29 22:12:42 | n4_b1p75 | samples= 13,112,576 | speed= 3,167 sps | loss=0.075887 | val=0.072931 | lr=1.20e-04 | D=-- | D'=--
2026-06-29 22:13:10 | n4_b1p75 | samples= 13,212,672 | speed= 3,547 sps | loss=0.075704 | val=0.072979 | lr=1.68e-04 | D=-- | D'=--
2026-06-29 22:13:38 | n4_b1p75 | samples= 13,312,768 | speed= 3,540 sps | loss=0.075799 | val=0.073065 | lr=2.31e-04 | D=-- | D'=--
2026-06-29 22:14:10 | n4_b1p75 | samples= 13,412,864 | speed= 3,139 sps | loss=0.075624 | val=0.072578 | lr=1.18e-04 | D=-- | D'=--
2026-06-29 22:14:42 | n4_b1p75 | samples= 13,512,960 | speed= 3,135 sps | loss=0.075289 | val=0.072364 | lr=6.03e-05 | D=-- | D'=--
2026-06-29 22:15:10 | n4_b1p75 | samples= 13,613,056 | speed= 3,542 sps | loss=0.075230 | val=0.072378 | lr=1.20e-04 | D=-- | D'=--
2026-06-29 22:15:42 | n4_b1p75 | samples= 13,713,152 | speed= 3,143 sps | loss=0.075252 | val=0.072335 | lr=1.41e-04 | D=-- | D'=--
2026-06-29 22:16:14 | n4_b1p75 | samples= 13,813,248 | speed= 3,151 sps | loss=0.075121 | val=0.072195 | lr=1.26e-04 | D=-- | D'=--
2026-06-29 22:16:42 | n4_b1p75 | samples= 13,913,344 | speed= 3,546 sps | loss=0.075222 | val=0.072516 | lr=2.68e-04 | D=-- | D'=--
2026-06-29 22:17:14 | n4_b1p75 | samples= 14,013,440 | speed= 3,094 sps | loss=0.075145 | val=0.072110 | lr=1.95e-04 | D=-- | D'=--
2026-06-29 22:17:46 | n4_b1p75 | samples= 14,113,536 | speed= 3,176 sps | loss=0.074856 | val=0.071739 | lr=1.31e-04 | D=-- | D'=--
2026-06-29 22:18:18 | n4_b1p75 | samples= 14,213,632 | speed= 3,156 sps | loss=0.074535 | val=0.071592 | lr=1.27e-04 | D=-- | D'=--
2026-06-29 22:18:46 | n4_b1p75 | samples= 14,313,728 | speed= 3,552 sps | loss=0.074455 | val=0.071626 | lr=1.73e-04 | D=-- | D'=--
2026-06-29 22:19:18 | n4_b1p75 | samples= 14,413,824 | speed= 3,155 sps | loss=0.074467 | val=0.071544 | lr=2.07e-04 | D=-- | D'=--
2026-06-29 22:19:49 | n4_b1p75 | samples= 14,513,920 | speed= 3,156 sps | loss=0.074456 | val=0.071408 | lr=1.79e-04 | D=-- | D'=--
2026-06-29 22:20:21 | n4_b1p75 | samples= 14,614,016 | speed= 3,154 sps | loss=0.074155 | val=0.070981 | lr=9.38e-05 | D=-- | D'=--
